Unique Identifier,Name,Reports To,Line Detail 1,Line Detail 2,Organization Name
2618_Olivier_CWYK,Olivier CWYK,777_Pierre-Yves_GODFROY,Acheteur Projet,M/PR/MEP/FR/AFI (Le Plessis-Robinson),
2619_Sabine_PETIT,Sabine PETIT,777_Pierre-Yves_GODFROY,Assistant(e) d'équipes,M/PR/MEP/FR (Le Plessis-Robinson),
2620_CARL_BROWN,CARL BROWN,778_TRACEY_JESINGER,Head of MEP – UK Tactical Strike,M/PR/MEP/UK (Stevenage),
2621_FELIX_BROWN,FELIX BROWN,778_TRACEY_JESINGER,PROCUREMENT EXECUTIVE,M/PR/MEP/UK (Stevenage),
2622_Janet_Albion,Janet Albion,778_TRACEY_JESINGER,Head of Sustainable Procurement,M/PR/MEP/UK (Bolton),
2623_Kat_DAVEY,Kat DAVEY,778_TRACEY_JESINGER,"Head of MEP - UK AD, FP, Export and IP",M/PR/MEP/UK (Stevenage),
2624_SHARON_STEVENS,SHARON STEVENS,778_TRACEY_JESINGER,Head of MEP - CSS,M/PR/MEP/UK (Stevenage),
2625_STUART_WHITELAW,STUART WHITELAW,778_TRACEY_JESINGER,SENIOR PROCUREMENT EXECUTIVE,M/PR/MEP/UK (Stevenage),
2626_MARK_KETTLE,MARK KETTLE,778_TRACEY_JESINGER,SENIOR PROCUREMENT EXECUTIVE,M/PR/MEP/UK (Bristol),
2627_SIMON_FOX,SIMON FOX,780_DAVID_MCDOWELL,B&PM Executive,M/PR/PMU/PMC/VIA (Bristol),
2628_Steve_PEIRCE,Steve PEIRCE,780_DAVID_MCDOWELL,HD OF MARITIME EXPORT PROGRAMME DELIVERY,M/PR/APC/NW (Bristol),
2629_BOB_NUNNERLEY,BOB NUNNERLEY,780_DAVID_MCDOWELL,SEA VIPER CH ENGR CAPABILITY SUSTAINMENT,M/PR/APC/NW (Bristol),
2630_ALESSANDRO_BIANCONI,ALESSANDRO BIANCONI,781_FLAVIO_DE_GAETANO,BUSINESS MANAGER,M/PR/APC/AMSL (Rome),
2631_CLAUDIA_DI_PETTA,CLAUDIA DI PETTA,781_FLAVIO_DE_GAETANO,PROGRAMME MANAGER & CE ASTER SYSTEMS NAVAL BASED EXPORT& EUROSAM,M/PR/AP/AWS (Rome),
2632_PEPPINO_AMORUSO,PEPPINO AMORUSO,781_FLAVIO_DE_GAETANO,PROGRAMME MANAGER & CE ASTER SYSTEMS GROUND BASED FSAF/EUROSAM,M/PR/AP/AWS (Rome),
2633_ALESSANDRA_RUSSO,ALESSANDRA RUSSO,781_FLAVIO_DE_GAETANO,PROGRAMME MANAGER WEAPON PACKAGES E INTEGRATION TO PLATFORM,M/PR/AP/AM/IT (Rome),
2634_ANDREA_CELESTE,ANDREA CELESTE,781_FLAVIO_DE_GAETANO,"PROGRAMME MANAGER & CE METEOR, METEOR CEP",M/PR/AP/AWS/PE (Rome),
2635_DANILO_ESPOSITO,DANILO ESPOSITO,781_FLAVIO_DE_GAETANO,PROGRAM MANAGER AARGM,M/PR/AP/AWS/PE (Rome),
2636_GIULIA_LUCIDI,GIULIA LUCIDI,781_FLAVIO_DE_GAETANO,ASTER SYSTEM GOVERNANCE SUPPORT,M/PR/AP/AWS (Rome),
2637_MARCO_PIGNOTTI,MARCO PIGNOTTI,781_FLAVIO_DE_GAETANO,CHIEF ENGINEER ASTER B1NT s/a Seeker Teseo,M/PR/AP/AM/IT/BN (Rome),
2638_MASSIMO_GUERRERA,MASSIMO GUERRERA,781_FLAVIO_DE_GAETANO,CHIEF ENGINEER ASTER EDR FUZE & DATA LINK,M/PR/AP/AM/IT (Rome),
2639_PAOLO_SANNA,PAOLO SANNA,781_FLAVIO_DE_GAETANO,Aircraft Integration  Italy,M/PR/AP/AM/IT (La Spezia),
2640_MARCO_BANCALLARI,MARCO BANCALLARI,782_FRANCESCO_CERNICH,PROGRAMME MANAGER & CE TESEO/OTOMAT,M/PR/AP/MT (La Spezia),
2641_TOMASO_ACERBI,TOMASO ACERBI,782_FRANCESCO_CERNICH,BUSINESS MANAGER,M/PR/APC/MT (La Spezia),
2642_FRANCESCO_SALVETTI,FRANCESCO SALVETTI,782_FRANCESCO_CERNICH,PROGRAMME MANAGER & CE  MARTE ER N/G,M/PR/AP/MT (La Spezia),
2643_MARCO_GELLI,MARCO GELLI,782_FRANCESCO_CERNICH,PROGRAMME MANAGER & CE NEW ANTISHIP TESEO E,M/PR/AP/MT (La Spezia),
2644_RICCARDO_PECUNIA,RICCARDO PECUNIA,782_FRANCESCO_CERNICH,PROGRAMME MANAGER & CE MARTE MK2,M/PR/AP/MT (La Spezia),
2645_SIMONA_SCHIFFINI,SIMONA SCHIFFINI,782_FRANCESCO_CERNICH,PERSONAL ASSISTANT,M/PR/AP/MT (La Spezia),
2646_SONIA_KATHERINA_MATTIONI,SONIA KATHERINA MATTIONI,782_FRANCESCO_CERNICH,PROGRAMME MANAGER & CE MARTE ER H/C,M/PR/AP/MT (La Spezia),
2647_ROBERTA_RONCHI,ROBERTA RONCHI,783_MASSIMO_VISCOGLIOSI,HEAD OF EXPORT CONTROL & LICENSING,M/PR/AP/ITC (Rome),
2648_ALESSANDRO_MARANGHI,ALESSANDRO MARANGHI,783_MASSIMO_VISCOGLIOSI,EXPORT CONTROL SUPPORT,M/PR/AP/ITC (Rome),
2649_EMANUELA_DE_SANTIS,EMANUELA DE SANTIS,783_MASSIMO_VISCOGLIOSI,EXPORT CONTROL ANALYST JUNIOR,M/PR/AP/ITC (Rome),
2650_GAETANO_CARDI,GAETANO CARDI,783_MASSIMO_VISCOGLIOSI,EXPORT CONTROL SUPPORT,M/PR/AP/ITC (Rome),
2651_MARTA_VESSELLA,MARTA VESSELLA,783_MASSIMO_VISCOGLIOSI,EXPORT CONTROL SUPPORT,M/PR/AP/ITC (Rome),
2652_SERENA_CARPENTIERI,SERENA CARPENTIERI,783_MASSIMO_VISCOGLIOSI,EXPORT CONTROL SUPPORT,M/PR/AP/ITC (Rome),
2653_MARIA_CRISTINA_GUGLIETTA,MARIA CRISTINA GUGLIETTA,784_MICHELE_POETA,HEAD OF CONTRACT ADMINISTRATION,M/PR/APC/PMP (Rome),
2654_BIAGIO_AMADORE,BIAGIO AMADORE,784_MICHELE_POETA,B&PM CENTRE OF COMPETENCE,M/PR/APC/PMP (Rome),
2655_NICOLA_MANZIONE,NICOLA MANZIONE,784_MICHELE_POETA,CONTRACT MANAGER EXPERT,M/PR/APC/PMP (Rome),
2656_ANDREW_BROWN,ANDREW BROWN,785_MIKE_JONES,HEAD OF PROJECT MANAGEMENT SUPPORT,M/PR/APC/PMC (Stevenage),
2657_DAVE_LUCAS-GARNER,DAVE LUCAS-GARNER,785_MIKE_JONES,Head of Project Management Systems,M/PR/APC/PMC (Stevenage),
2658_ERMINIO_MACHEDA,ERMINIO MACHEDA,785_MIKE_JONES,HEAD OF PMC ITALY,M/PR/APC/PMC (Rome),
2659_Philippe_ASSANTE,Philippe ASSANTE,785_MIKE_JONES,Head of Project Management & Control France,M/PR/APC/PMC (Le Plessis-Robinson),
2660_BRIAN_DOLLOND,BRIAN DOLLOND,785_MIKE_JONES,PROJECT MANAGER PROCESSES,M/PR/APC/PMC (Stevenage),
2661_Emma_GREEN,Emma GREEN,785_MIKE_JONES,UK Resource Forecast Analyst,M/PR/APC/PMC/WFR (Stevenage),
2662_SIMONE_SANICOLA,SIMONE SANICOLA,786_MIRKO_LEONARDI,HEAD OF CSE ROME EUROSAM,M/PR/AP/ESA (Rome),
2663_Alessandro_Laurenti,Alessandro Laurenti,786_MIRKO_LEONARDI,SYSTEM ENGINEER,M/PR/AP/ESA (Rome),
2664_ALESSANDRO_MINZONI,ALESSANDRO MINZONI,786_MIRKO_LEONARDI,SYSTEM ENGINEER,M/PR/AP/ESA (Rome),
2665_ANDREA_GIUSEPPE_PANDOLFO,ANDREA GIUSEPPE PANDOLFO,786_MIRKO_LEONARDI,CHIEF ENGINEER SAMP/T VARIANTE IT,M/PR/AP/ESA (Rome),
2666_ANNA_ENZA_GUIDA,ANNA ENZA GUIDA,786_MIRKO_LEONARDI,COMMERCIAL MANAGER,M/PR/AP/ESA (Rome),
2667_ANTONELLA_FURNO,ANTONELLA FURNO,786_MIRKO_LEONARDI,HEAD OF COMMERCIAL & CONTRACT MANAGEMENT,M/PR/AP/ESA (Rome),
2668_CORRADO_CALVO,CORRADO CALVO,786_MIRKO_LEONARDI,NAVAL SYSTEM ARCHITECT,M/PR/AP/ESA (Rome),
2669_EMILIANO_CIOTOLI,EMILIANO CIOTOLI,786_MIRKO_LEONARDI,SYSTEM ENGINEER SAMP/T,M/PR/AP/ESA (Rome),
2670_FABRIZIO_RICCI,FABRIZIO RICCI,786_MIRKO_LEONARDI,ILS MANAGER SAMPT/NG,M/PR/AP/ESA (Rome),
2671_FEDERICA_SULPIZI,FEDERICA SULPIZI,786_MIRKO_LEONARDI,EUROSAM CSS DIRECTOR,M/PR/AP/ESA (Rome),
2672_FIAMMETTA_BORZILLO,FIAMMETTA BORZILLO,786_MIRKO_LEONARDI,PROJECT MANAGER SAMPT,M/PR/AP/ESA (La Spezia),
2673_FILIPPO_DAMI,FILIPPO DAMI,786_MIRKO_LEONARDI,CHIEF ENGINEER & PROGRAM MANAGER NAVAL,M/PR/AP/ESA (La Spezia),
2674_IGINO_PUCCI,IGINO PUCCI,786_MIRKO_LEONARDI,EUROSAM SITE ROME FACILITY  HEAD,M/PR/AP/ESA (Rome),
2675_LUCA_RECCHIA,LUCA RECCHIA,786_MIRKO_LEONARDI,HEAD OF QUALITY EUROSAM,M/PR/AP/ESA (Rome),
2676_Marco_Bassetti,Marco Bassetti,786_MIRKO_LEONARDI,ILS STUDY PAAMS NG,M/PR/AP/ESA (La Spezia),
2677_MARIO_ANTONELLI,MARIO ANTONELLI,786_MIRKO_LEONARDI,SYSTEM ENGINEER SAMPT NG PERFORMANCES,M/PR/AP/ESA (Rome),
2678_MATTIA_BOCCUNI,MATTIA BOCCUNI,786_MIRKO_LEONARDI,SYSTEM ENGINEER,M/PR/AP/ESA (Rome),
2679_PAOLA_CONTADINI,PAOLA CONTADINI,786_MIRKO_LEONARDI,CHIEF SYSTEMS ENGINEER SAMPT/NG,M/PR/AP/ESA (Rome),
2680_ROCCO_FRIGUGLIETTI,ROCCO FRIGUGLIETTI,786_MIRKO_LEONARDI,SUPPORTO LOGISTICO CSS EUROSAM,M/PR/AP/ESA (Rome),
2681_SARA_PENNISI,SARA PENNISI,786_MIRKO_LEONARDI,NG DELIVERY DB & GFX,M/PR/AP/ESA (Rome),
2682_SAVERIO_ROMANO,SAVERIO ROMANO,786_MIRKO_LEONARDI,SYSTEM ENGINEERING,M/PR/AP/ESA (Rome),
2683_VALERIO_MAZZOTTA,VALERIO MAZZOTTA,786_MIRKO_LEONARDI,FINANCIAL CONTRACT MANAGER,M/PR/AP/ESA (Rome),
2684_VALERIO_PICCOLI,VALERIO PICCOLI,786_MIRKO_LEONARDI,QUALITY ASSURANCE MANAGER,M/PR/AP/ESA (Rome),
2685_Philippe_DOUMERGUE_(On_Leave),Philippe DOUMERGUE (On Leave),787_Philippe_COTIER,ASTER Missiles Special Advisor,M/PR/AP/B (Le Plessis-Robinson),
2686_Gérard_HASSENFORDER,Gérard HASSENFORDER,788_Philippe_ROUMIGUIERE,Responsable Management de la Production Munition Aster,M/PR/AP/AM (Le Plessis-Robinson),
2687_Gilles_COMELLI,Gilles COMELLI,788_Philippe_ROUMIGUIERE,Chief Engineer Aster Munition,M/PR/AP/AM (Le Plessis-Robinson),
2688_Paul_GUENZI,Paul GUENZI,788_Philippe_ROUMIGUIERE,Business Manager Aster Missile,M/PR/AP/AM (Le Plessis-Robinson),
2689_Blandine_HERBAS,Blandine HERBAS,788_Philippe_ROUMIGUIERE,Assistante d'équipe,M/PR/AP/AM/IDA (Le Plessis-Robinson),
2690_Corinne_HUGUET,Corinne HUGUET,788_Philippe_ROUMIGUIERE,Assistante d'Equipes,M/PR/AP/AM (Le Plessis-Robinson),
2691_Cyril_DELMAU,Cyril DELMAU,788_Philippe_ROUMIGUIERE,Chef de projet Sea Centurion / traitement obso electronique,M/PR/AP/AM (Le Plessis-Robinson),
2692_Doménico_ADDABBO_(On_Leave),Doménico ADDABBO (On Leave),788_Philippe_ROUMIGUIERE,responsable appro italiens ASTER,M/PR/AP/AM (Le Plessis-Robinson),
2693_Manuel_ANGOULVANT,Manuel ANGOULVANT,788_Philippe_ROUMIGUIERE,Chef de projet MLU Aster,M/PR/AP/AM (Le Plessis-Robinson),
2694_Pierre_RINGUET,Pierre RINGUET,788_Philippe_ROUMIGUIERE,Chef de Projet ASTER Block 1 NT,M/PR/AP/AM (Le Plessis-Robinson),
2695_Thierry_GUILHEM,Thierry GUILHEM,788_Philippe_ROUMIGUIERE,Responsable du projet cible balistique,M/PR/AP/AM (Le Plessis-Robinson),
2696_Vanessa_BRUNETEAU,Vanessa BRUNETEAU,788_Philippe_ROUMIGUIERE,Assistante d'équipe,M/PR/AP/AM/IDA (Le Plessis-Robinson),
2697_ANDREA_MELE,ANDREA MELE,789_SANDRO_PETRIZZELLI,BUSINESS MANAGER,M/PR/APC/IB (Rome),
2698_FABIO_GERUZZI,FABIO GERUZZI,789_SANDRO_PETRIZZELLI,CHIEF ENGINEER & PROGRAM MANAGER IT CAMM/ER LAND SYSTEMS,M/PR/AP/IB (Rome),
2699_ALESSANDRO_SAVELLI,ALESSANDRO SAVELLI,789_SANDRO_PETRIZZELLI,Chief Engineer & Program Manager ALBATROS NG e PPA,M/PR/AP/IB (Rome),
2700_ANDREA_CARONI,ANDREA CARONI,789_SANDRO_PETRIZZELLI,Chief Engineer & Program Manager IT V-SHORAD,M/PR/AP/IB (Rome),
2701_FEDERICO_DI_NATALE,FEDERICO DI NATALE,789_SANDRO_PETRIZZELLI,Chief Engineer & Program Manager COASTAL BATTERIES,M/PR/AP/IB (Rome),
2702_FRANCESCA_LA_REGINA,FRANCESCA LA REGINA,789_SANDRO_PETRIZZELLI,IT CAMM ER SYSTEMS & COASTAL BATTERIES GOVERNANCE SUPPORT,M/PR/AP/IB (Rome),
2703_LUISA_CORTESE,LUISA CORTESE,789_SANDRO_PETRIZZELLI,PROGRAM MANAGER IT CAAM ER GBAD & NBAD FUTURE PROGRAMMES,M/PR/AP/IB (Rome),
2704_Alexander_Wolff,Alexander Wolff,793_Andreas_Scharrenbroich,Chief Engineer ENFORCER,M/PR/BGP/BFE (Schrobenhausen),
2705_Daniel_Gruber,Daniel Gruber,793_Andreas_Scharrenbroich,Customer Project Manager Projektleitung ENFORCER,M/PR/BGP/BFE (Schrobenhausen),
2706_Danny_Müller,Danny Müller,793_Andreas_Scharrenbroich,Customer Project Manager,M/PR/BGP/BFE (Schrobenhausen),
2707_Dr._Matthias_Raif,Dr. Matthias Raif,793_Andreas_Scharrenbroich,Chief Engineer ILIS,M/PR/BGP/BFE (Schrobenhausen),
2708_Martin_Baur,Martin Baur,793_Andreas_Scharrenbroich,Customer Project Manager,M/PR/BGP/BFE (Schrobenhausen),
2709_Michael_Gutmann,Michael Gutmann,793_Andreas_Scharrenbroich,Chief Engineer,M/PR/BGP/BFE (Schrobenhausen),
2710_Michael_Limmer,Michael Limmer,793_Andreas_Scharrenbroich,Customer Project Manager,M/PR/BGP/BFE (Schrobenhausen),
2711_Michael_Weihmann,Michael Weihmann,793_Andreas_Scharrenbroich,Customer Project Manager ENFORCER,M/PR/BGP/BFE (Schrobenhausen),
2712_Christian_GRANDJEAN,Christian GRANDJEAN,794_Jean-Marie_NICKLAUS,Business Manager,M/PR/BGP/PLO (Le Plessis-Robinson),
2713_Bruno_BERTHET_(On_Leave),Bruno BERTHET (On Leave),794_Jean-Marie_NICKLAUS,Business Manager SMR - Surface Attack France,M/PR/BGP/PLO (Le Plessis-Robinson),
2714_Catherine_GRUNBERGER,Catherine GRUNBERGER,794_Jean-Marie_NICKLAUS,Assistante d'équipes,M/PR/BGP/PLO/IDA (Le Plessis-Robinson),
2715_Alexander_Puchta,Alexander Puchta,795_Johannes_Hager,Customer Project Manager,M/PR/BGP/GPT (Schrobenhausen),
2716_Andreas_Dittenhauser_(On_Leave),Andreas Dittenhauser (On Leave),795_Johannes_Hager,Customer Project Manager Future Naval Strike Missile (NSM),M/PR/BGP/GPT (Schrobenhausen),
2717_Bernhard_Baur,Bernhard Baur,795_Johannes_Hager,Chief Engineer,M/PR/BGP/GPT (Schrobenhausen),
2718_Dr._Vincent_Klinkhamer,Dr. Vincent Klinkhamer,795_Johannes_Hager,Chief Engineer,M/PR/BGP/GPT (Schrobenhausen),
2719_Jürgen_Walonka_(On_Leave),Jürgen Walonka (On Leave),795_Johannes_Hager,Customer Project Manager,M/PR/BGP/GPT (Schrobenhausen),
2720_Bernd_Kominek,Bernd Kominek,796_Jürgen_Koneczny,Programs Director,M/DE/CLG (Schrobenhausen),
2721_Dr._Niklas_Schormair,Dr. Niklas Schormair,796_Jürgen_Koneczny,"Head of Programme PATRIOT Acquisition, Projects and Services",M/PR/BGP/GPP (Schrobenhausen),
2722_Hans-Jürgen_Wiesemann,Hans-Jürgen Wiesemann,796_Jürgen_Koneczny,Head of Programme PATRIOT Weapon System,M/PR/BGP/GPP (Schrobenhausen),
2723_Mathias_Jacob,Mathias Jacob,796_Jürgen_Koneczny,Head of Programme PATRIOT Communication System,M/PR/BGP/GPP (Schrobenhausen),
2724_Matthias_Karg,Matthias Karg,796_Jürgen_Koneczny,Head of Quality and Configuration Management,M/DE/CLG (Schrobenhausen),
2725_Uwe_Dörre,Uwe Dörre,796_Jürgen_Koneczny,Finance Director,M/DE/CLG (Schrobenhausen),
2726_Frederyk_Hempel,Frederyk Hempel,797_Martin_Bührle,Head of Production Programme RAM,M/PR/BGP/GPR (Ulm),
2727_Rolf_Zuliani,Rolf Zuliani,797_Martin_Bührle,Head of Engineering Programme RAM,M/PR/BGP/GPR (Ulm),
2728_Stefan_Vögel,Stefan Vögel,797_Martin_Bührle,Head of Project Management Programme RAM,M/PR/BGP/GPR (Ulm),
2729_Andrea_Reil,Andrea Reil,797_Martin_Bührle,Specialist Site Management,M/PR/BGP/GPR (Ulm),
2730_Daniela_Baur,Daniela Baur,797_Martin_Bührle,Specialist Site Management,M/PR/BGP/GPR (Ulm),
2731_Oliver_Mirow,Oliver Mirow,797_Martin_Bührle,Customer Project Manager,M/PR/BGP/GPR (Ulm),
2732_Oliver_Nuding,Oliver Nuding,797_Martin_Bührle,Customer Project Manager,M/PR/BGP/GPR (Ulm),
2733_Raimund_Bamberger,Raimund Bamberger,797_Martin_Bührle,Manager Concepts Future RAM & ESSM,M/PR/BGP/GPR (Ulm),
2734_Ursula_Weber,Ursula Weber,797_Martin_Bührle,Project Assistant,M/PR/BGP/GPR (Ulm),
2735_Christian_Dymke,Christian Dymke,798_Norbert_Wührer,Head of POLYGONE,M/PR/BGP/GPL (Schrobenhausen),
2736_Florian_Frank,Florian Frank,798_Norbert_Wührer,Head of Technical Publications,M/PR/BGP/GPL (Schrobenhausen),
2737_Christian_Dörschmidt,Christian Dörschmidt,798_Norbert_Wührer,Service Technician Maintenance,M/PR/BGP/GPL/GPL1 (Schrobenhausen),
2738_Daniel_Hartl,Daniel Hartl,798_Norbert_Wührer,Service Technician Instandsetzung von Geräten und Systemen,M/PR/BGP/GPL/GPL1 (Schrobenhausen),
2739_Frank_Wendler,Frank Wendler,798_Norbert_Wührer,Systems Engineer Integrated Logistic Support,M/PR/BGP/GPL/GPL1 (Schrobenhausen),
2740_Günther_Herzberg,Günther Herzberg,798_Norbert_Wührer,Systems Engineer Integrated Logistic Support ,M/PR/BGP/GPL/GPL1 (Schrobenhausen),
2741_Jens_Hesse_(On_Leave),Jens Hesse (On Leave),798_Norbert_Wührer,Logistics Project Manager,M/PR/BGP/GPL (Schrobenhausen),
2742_Merten_Tiedemann,Merten Tiedemann,798_Norbert_Wührer,Chief Engineer,M/PR/BGP/GPL/GPL1 (Schrobenhausen),
2743_Philip_Bachmeir,Philip Bachmeir,798_Norbert_Wührer,Logistics Project Manager,M/PR/BGP/GPL/GPL1 (Schrobenhausen),
2744_Reiner_Udo_Sinagowitz,Reiner Udo Sinagowitz,798_Norbert_Wührer,Service Engineer Maintenance,M/PR/BGP/GPL/GPL1 (Schrobenhausen),
2745_Robert_Schalk,Robert Schalk,798_Norbert_Wührer,Service Technician Instandsetzung von Geräten und Systemen,M/PR/BGP/GPL/GPL1 (Schrobenhausen),
2746_Robert_Stadlmair,Robert Stadlmair,798_Norbert_Wührer,Specialist Logistics,M/PR/BGP/GPL/GPL1 (Schrobenhausen),
2747_Stefan_Pögl,Stefan Pögl,798_Norbert_Wührer,Logistics Project Manager,M/PR/BGP/GPL/GPL1 (Schrobenhausen),
2748_Theresa_Weichenberger,Theresa Weichenberger,798_Norbert_Wührer,Logistics Project Manager,M/PR/BGP/GPL/GPL1 (Schrobenhausen),
2749_Theresia_Berger,Theresia Berger,798_Norbert_Wührer,Project Management Specialist,M/PR/BGP/GPL/GPL1 (Schrobenhausen),
2750_Thomas_Nagel,Thomas Nagel,798_Norbert_Wührer,Logistics Project Manager,M/PR/BGP/GPL/GPL1 (Schrobenhausen),
2751_Thomas_Schnitzler,Thomas Schnitzler,798_Norbert_Wührer,Chief Engineer,M/PR/BGP/GPL/GPL1 (Schrobenhausen),
2752_Thomas_Ulrich,Thomas Ulrich,798_Norbert_Wührer,Systems Engineer Integrated Logistics Support,M/PR/BGP/GPL/GPL1 (Schrobenhausen),
2753_Werner_Kreuzer,Werner Kreuzer,798_Norbert_Wührer,Service Technician Maintenance,M/PR/BGP/GPL/GPL1 (Schrobenhausen),
2754_Wolfgang_Mack,Wolfgang Mack,798_Norbert_Wührer,Logistics Project Manager,M/PR/BGP/GPL/GPL1 (Schrobenhausen),
2755_Jean_Luc_DIETLER,Jean Luc DIETLER,799_Olivier_BENOIT,Chargé Emploi Opérationnel et Valorisation du Système d’Armes MMP.,M/PR/BGP/MM (Le Plessis-Robinson),
2756_Nicolas_CARUEL,Nicolas CARUEL,799_Olivier_BENOIT,Chef de projet MMP,M/PR/BGP/MM (Le Plessis-Robinson),
2757_Richard_GRANCHER,Richard GRANCHER,799_Olivier_BENOIT,B&P Manager affaires Armements modulaires et soutien à des affaires nouvelles SA,M/PR/BGP/MM (Le Plessis-Robinson),
2758_Benedikt_Mayr,Benedikt Mayr,800_Özlem_Simsek-Jülich,Senior Project Management Expert (PME) Earned Value Management,M/PR/BGP/GPM (Schrobenhausen),
2759_Florian_Poniewaß,Florian Poniewaß,800_Özlem_Simsek-Jülich,Programme Management Expert,M/PR/BGP/GPM (Schrobenhausen),
2760_Josef_Martin,Josef Martin,800_Özlem_Simsek-Jülich,Programme Management Expert,M/PR/BGP/GPM (Schrobenhausen),
2761_Maria_Ankner,Maria Ankner,800_Özlem_Simsek-Jülich,Programme Management Expert,M/PR/BGP/GPM (Schrobenhausen),
2762_Marion_Fürholzer,Marion Fürholzer,800_Özlem_Simsek-Jülich,Programme Management Expert,M/PR/BGP/GPM (Schrobenhausen),
2763_Robert_Hüller,Robert Hüller,800_Özlem_Simsek-Jülich,Senior Project Management Expert (PME) Risk and Opportunity Management,M/PR/BGP/GPM (Schrobenhausen),
2764_Kirsten_Gottschlich,Kirsten Gottschlich,802_Werner_Schmitt,"Head of Procurement Tools, Strategies & Methods",M/PR/BGP/GPS (Schrobenhausen),
2765_Niels_Pedersen,Niels Pedersen,802_Werner_Schmitt,Head of Commodities Procurement,M/PR/BGP/GPS (Schrobenhausen),
2766_Norbert_Karl,Norbert Karl,802_Werner_Schmitt,Head of Material Management,M/PR/BGP/GPS (Schrobenhausen),
2767_Veronika_Rixinger,Veronika Rixinger,802_Werner_Schmitt,Head of Major Equipment Procurement,M/PR/BGP/GPS (Schrobenhausen),
2768_Andrew_McDonald,Andrew McDonald,802_Werner_Schmitt,Buyer Goods & Services,M/PR/BGP/GPS (Schrobenhausen),
2769_Lena_Schenk,Lena Schenk,802_Werner_Schmitt,Buyer Goods & Services,M/PR/BGP/GPS (Schrobenhausen),
2770_Paul_Cary_Stephenson_(On_Leave),Paul Cary Stephenson (On Leave),802_Werner_Schmitt,Buyer Goods & Services,M/PR/BGP/GPS (Schrobenhausen),
2771_Thomas_Ruppert_[C],Thomas Ruppert [C],802_Werner_Schmitt,Procurement Administrator,M/PR/BGP/GPS (Schrobenhausen),
2772_Carina_Gaber,Carina Gaber,810_Dr._Konrad_Schmid,Head of Production Planning and Control,M/DE/TDW/TDWF (Schrobenhausen),
2773_Dr._Quirin_Axthammer,Dr. Quirin Axthammer,810_Dr._Konrad_Schmid,"Head of High Explosives, Analytics & Process Technology",M/DE/TDW/TDWF (Schrobenhausen),
2774_Fabian_Maisberger,Fabian Maisberger,810_Dr._Konrad_Schmid,Head of Testing,M/DE/TDW/TDWF (Schrobenhausen),
2775_Florian_Klug,Florian Klug,810_Dr._Konrad_Schmid,Head of Machine Shop & Plant Maintenance,M/DE/TDW/TDWF (Schrobenhausen),
2776_Martin_Ostermayer,Martin Ostermayer,810_Dr._Konrad_Schmid,Head of Environment Simulation,M/DE/TDW/TDWF (Schrobenhausen),
2777_Martin_Stollreiter,Martin Stollreiter,810_Dr._Konrad_Schmid,Head of Warhead Assembly & Electronic Manufacturing,M/DE/TDW/TDWF (Schrobenhausen),
2778_Berthold_Heigl,Berthold Heigl,810_Dr._Konrad_Schmid,Production Expert Warhead System,M/DE/TDW/TDWF (Schrobenhausen),
2779_Gabriele_Scherer,Gabriele Scherer,810_Dr._Konrad_Schmid,Team Assistant,M/DE/TDW/TDWF (Schrobenhausen),
2780_Gerhard_Specht,Gerhard Specht,810_Dr._Konrad_Schmid,Project Manager Production Invest- & Facility Management,M/DE/TDW/TDWF (Schrobenhausen),
2781_Willi_Gaßner,Willi Gaßner,810_Dr._Konrad_Schmid,Specialist Material Management,M/DE/TDW/TDWF (Schrobenhausen),
2782_Corinna_Schweinzer,Corinna Schweinzer,811_Marcel_Alberth,Product Project Coordinator,M/DE/TDW/TDWP (Schrobenhausen),
2783_Andreas_Weber,Andreas Weber,811_Marcel_Alberth,Product Project Manager,M/DE/TDW/TDWP (Schrobenhausen),
2784_Marion_Hofner,Marion Hofner,811_Marcel_Alberth,Product Project Manager,M/DE/TDW/TDWP (Schrobenhausen),
2785_Matthias_Rauscher,Matthias Rauscher,811_Marcel_Alberth,Product Project Manager,M/DE/TDW/TDWP (Schrobenhausen),
2786_Olaf_Borsutzky,Olaf Borsutzky,811_Marcel_Alberth,Product Project Manager,M/DE/TDW/TDWP (Schrobenhausen),
2787_Sarah_Preschl,Sarah Preschl,811_Marcel_Alberth,Project Management Specialist,M/DE/TDW/TDWP (Schrobenhausen),
2788_Thomas_Ahle,Thomas Ahle,811_Marcel_Alberth,Product Project Manager,M/DE/TDW/TDWP (Schrobenhausen),
2789_Thomas_Edlich_(On_Leave),Thomas Edlich (On Leave),811_Marcel_Alberth,Product Project Manager,M/DE/TDW/TDWP (Schrobenhausen),
2790_Thomas_Krapf,Thomas Krapf,811_Marcel_Alberth,Product Project Manager,M/DE/TDW/TDWP (Schrobenhausen),
2791_Christian_Schäfers,Christian Schäfers,812_Michael_Korte-Weich,Head of Mechanical Design,M/DE/TDW/TDWE (Schrobenhausen),
2792_Werner_Steiner,Werner Steiner,812_Michael_Korte-Weich,Head of Systems Engineering,M/DE/TDW/TDWE (Schrobenhausen),
2793_Dr._Raphael_Gutser,Dr. Raphael Gutser,812_Michael_Korte-Weich,Technical Expert Warhead Systems,M/DE/TDW/TDWE/TDWEN (Schrobenhausen),
2794_Dr._Reiner_Gleichmar,Dr. Reiner Gleichmar,812_Michael_Korte-Weich,Expert Warhead Concepts and Design,M/DE/TDW/TDWE/TDWEN (Schrobenhausen),
